Velocity field t=5s			
x (m)	y (m)	u (m/s)	v (m/s)
3.27	-1.7	0.48482422	-0.00483283
3.33	-1.7	0.76098952	0.051221176
3.39	-1.7	0.80314526	0.036612022
3.45	-1.7	0.76296164	0.058919952
3.51	-1.7	0.62352604	0.14250233
3.57	-1.7	0.5264523	0.18966398
3.63	-1.7	0.059890178	0.046831148
3.69	-1.7	0.34396194	0.33243253
5.13	-1.7	0.001063187	0.002179182
5.19	-1.7	0.002964925	0.004991126
5.25	-1.7	0.053765727	-0.001633054
5.31	-1.7	0.8034589	-0.22272762
5.37	-1.7	0.34461907	-0.078462531
5.43	-1.7	0.40291761	-0.073695796
5.49	-1.7	0.46121616	-0.068929062
5.55	-1.7	0.51136933	-0.055561313
5.61	-1.7	0.46969981	-0.16113579
5.67	-1.7	0.78469256	0.18671941
2.19	-1.66	0.7605815	-0.18836727
2.25	-1.66	0.75233154	-0.18046323
2.31	-1.66	0.46198472	-0.070543573
2.37	-1.66	0.2333931	0.033699377
2.43	-1.66	0.15175578	-0.018161465
2.85	-1.66	0.523789	-0.013144714
2.91	-1.66	0.56029028	0.13743885
2.97	-1.66	0.74448162	-0.24644895
3.03	-1.66	0.86680122	-0.32301997
3.09	-1.66	0.98912082	-0.39959099
3.33	-1.66	0.57942834	0.36536403
3.39	-1.66	0.6159995	0.25648414
3.45	-1.66	0.73593898	-0.041680319
3.51	-1.66	0.72536061	0.034620085
3.57	-1.66	0.80461568	0.06225407
3.63	-1.66	0.70474174	0.15506514
3.69	-1.66	0.63357162	0.19361377
3.75	-1.66	0.72526738	0.19817192
3.81	-1.66	0.70321447	0.12957793
3.87	-1.66	0.76762461	0.09875631
3.93	-1.66	0.75848845	0.15329382
3.99	-1.66	0.85421081	-0.065728759
4.05	-1.66	0.73326744	-0.050116162
4.11	-1.66	0.67685698	0.084723265
4.17	-1.66	0.89278944	0.041677143
4.23	-1.66	0.9617132	-0.027009414
4.29	-1.66	0.9661621	-0.039284107
4.35	-1.66	0.82672797	-0.033533388
4.41	-1.66	0.83085809	0.035521645
4.47	-1.66	0.85338942	0.10422597
4.53	-1.66	0.71384953	0.28928699
4.83	-1.66	0.8525062	-0.16527574
4.89	-1.66	0.52241935	-0.045283029
4.95	-1.66	0.31927702	0.1063257
5.01	-1.66	0.16461143	0.14782679
5.25	-1.66	-0.006636042	-0.030871248
5.31	-1.66	0.65641867	-0.085910938
5.37	-1.66	0.66424901	-0.1530996
5.43	-1.66	0.60692335	-0.15331714
5.49	-1.66	0.411063	-0.082296811
5.55	-1.66	0.58850972	-0.073319017
5.61	-1.66	0.89111979	-0.07057461
5.67	-1.66	0.92526806	-0.046017336
5.73	-1.66	0.92351613	0.040967624
5.79	-1.66	0.94981016	0.07273078
5.85	-1.66	0.95631023	0.088953961
1.77	-1.62	0.91547021	0.028547993
1.83	-1.62	1.0055998	0.039725894
1.89	-1.62	0.85073092	0.00249886
1.95	-1.62	0.69586203	-0.034728174
2.01	-1.62	0.70464146	-0.065085637
2.07	-1.62	0.71342089	-0.095443101
2.13	-1.62	0.76025779	-0.28591853
2.19	-1.62	0.75777748	-0.25433425
2.25	-1.62	0.76633776	-0.1054634
2.31	-1.62	0.66740606	-0.13320691
2.37	-1.62	0.62812756	-0.11501958
3.39	-1.62	0.5380533	0.35752827
3.45	-1.62	0.52408066	0.16705716
3.51	-1.62	0.8935466	0.10047516
3.57	-1.62	1.2630125	0.033893165
3.63	-1.62	1.1956648	0.12562568
3.69	-1.62	1.0587701	0.13996711
3.75	-1.62	0.98003822	0.21007825
3.81	-1.62	0.85049906	0.1157223
3.87	-1.62	0.87712476	0.1057138
3.93	-1.62	0.86450275	0.12299792
3.99	-1.62	0.61514371	0.13354492
4.05	-1.62	0.78381335	-0.000626345
4.11	-1.62	0.78719281	0.007083307
4.17	-1.62	0.74226409	0.068917194
4.23	-1.62	0.99471815	-0.096896666
4.29	-1.62	0.96379194	-0.11579542
4.35	-1.62	0.965077	-0.099739264
4.41	-1.62	0.96636206	-0.08368311
4.47	-1.62	0.87149384	-0.083896537
4.53	-1.62	0.81640264	0.10488825
4.59	-1.62	0.85471059	0.035265132
4.65	-1.62	0.82523813	-0.058192147
4.71	-1.62	0.66348863	-0.12098926
4.77	-1.62	0.5614412	-0.068899411
4.83	-1.62	0.77211267	0.12045921
4.89	-1.62	0.26976053	0.026924989
4.95	-1.62	0.13730146	0.18337409
5.01	-1.62	0.31913883	0.055205326
5.07	-1.62	0.27764035	-0.068029582
5.25	-1.62	0.18220464	-0.10120877
5.31	-1.62	0.56035333	-0.11197377
5.37	-1.62	0.52187316	-0.067871791
5.43	-1.62	0.54704695	-0.21366507
5.49	-1.62	0.88735813	-0.08415183
5.55	-1.62	0.88387268	-0.10055783
5.61	-1.62	0.92161181	-0.13512177
5.67	-1.62	0.92908989	-0.11360321
5.73	-1.62	1.0152015	-0.03772081
5.79	-1.62	1.0009065	0.1161881
5.85	-1.62	1.0465286	0.11276077
1.59	-1.58	0.68537608	0.39909086
1.65	-1.58	0.7159967	0.38366094
1.71	-1.58	0.86331937	0.22028742
1.77	-1.58	1.010642	0.056913896
1.83	-1.58	1.0017838	0.033583862
1.89	-1.58	0.65717592	0.12098731
1.95	-1.58	0.69586203	-0.034728174
2.01	-1.58	0.97982555	-0.2539479
2.07	-1.58	0.91299864	-0.027063174
2.13	-1.58	0.9144588	-0.077376907
2.19	-1.58	0.80283755	0.066160188
2.25	-1.58	0.78034399	-0.03046358
2.31	-1.58	0.87282741	-0.19587024
2.37	-1.58	1.022862	-0.26373853
3.63	-1.58	1.6254972	0.083697693
3.69	-1.58	1.6546114	0.15586528
3.75	-1.58	1.4633914	0.11935853
3.81	-1.58	1.4468101	0.090836277
3.87	-1.58	1.3454686	0.092224053
3.93	-1.58	1.6104115	0.077406036
3.99	-1.58	1.6272603	0.035735331
4.05	-1.58	1.6548874	0.072998028
4.11	-1.58	1.6045348	0.10545965
4.17	-1.58	1.6860443	0.13140711
4.23	-1.58	1.6853478	0.098371442
4.29	-1.58	1.6640627	0.10783682
4.35	-1.58	1.4187935	0.081077463
4.41	-1.58	1.1735244	0.054318101
4.47	-1.58	1.2252486	-0.005806651
4.53	-1.58	1.10468	-0.086938286
4.59	-1.58	0.97045412	-0.080761936
4.65	-1.58	0.72462199	-0.070574652
4.71	-1.58	0.67112137	-0.009553906
4.77	-1.58	0.68217415	0.074648425
4.83	-1.58	0.78249177	0.070738074
4.89	-1.58	0.70758936	-0.032370597
4.95	-1.58	0.30166727	0.052921214
5.01	-1.58	0.57121892	-0.070860199
5.07	-1.58	0.48872364	-0.031460416
5.13	-1.58	0.48996126	-0.19895288
5.19	-1.58	0.47505108	-0.17058936
5.25	-1.58	0.37104533	-0.17154629
5.31	-1.58	0.93351083	-0.1026701
5.37	-1.58	1.0581383	-0.23861805
5.43	-1.58	0.93488721	-0.18226486
5.49	-1.58	0.95052089	-0.1956073
5.55	-1.58	0.97002554	-0.17532958
5.61	-1.58	1.1452363	-0.072742783
5.67	-1.58	1.1659548	-0.10502711
5.73	-1.58	1.2073659	-0.046569264
5.79	-1.58	1.1400791	0.21171504
5.85	-1.58	1.2209699	0.21855164
1.83	-1.54	0.92912932	0.13050796
1.89	-1.54	0.94824583	0.17109099
1.95	-1.54	0.9422343	0.040033941
2.01	-1.54	1.0989547	-0.043845643
2.07	-1.54	1.1523052	-0.035718134
2.13	-1.54	1.1817412	-0.06268611
2.19	-1.54	1.1511226	0.064234855
2.25	-1.54	1.1510239	0.10725305
2.31	-1.54	1.1152574	-0.11777268
2.37	-1.54	1.1728966	-0.33160683
2.43	-1.54	1.2568813	-0.028823692
2.49	-1.54	1.2389476	0.080063994
2.55	-1.54	1.3060313	-0.019405614
3.63	-1.54	1.6136861	0.060272572
3.69	-1.54	1.6162987	0.060462665
3.75	-1.54	1.4821112	0.043000861
3.81	-1.54	1.5123948	0.039028771
3.87	-1.54	1.4741578	0.066287076
3.93	-1.54	1.6104581	0.04732905
4.29	-1.54	1.7089306	0.13367958
4.35	-1.54	1.744502	0.060309467
4.41	-1.54	1.7500103	0.007955445
4.47	-1.54	1.7512962	0.093290118
4.53	-1.54	1.6754505	0.035404626
4.59	-1.54	1.6473361	0.028886147
4.65	-1.54	1.5676774	0.013492467
4.71	-1.54	1.5491968	-0.057288241
4.77	-1.54	1.0869596	0.090651715
4.83	-1.54	1.117841	0.089997268
4.89	-1.54	1.2992388	0.1976662
4.95	-1.54	1.2494306	0.16018197
5.01	-1.54	0.90397422	0.02760301
5.07	-1.54	0.62039161	-0.13509367
5.13	-1.54	0.48685513	0.008328321
5.19	-1.54	0.69003163	-0.17617026
5.25	-1.54	1.1081887	-0.36624973
5.31	-1.54	1.1511531	-0.39929971
5.37	-1.54	1.246552	-0.27500737
5.43	-1.54	1.468728	-0.26617592
5.49	-1.54	1.3650016	-0.13254189
5.55	-1.54	1.3853662	-0.012374031
5.61	-1.54	1.3688609	-0.010363792
5.67	-1.54	1.4028196	-0.096451016
5.73	-1.54	1.3995303	-0.055417718
5.79	-1.54	1.382338	-0.015570282
5.85	-1.54	1.4051301	0.007286418
3.27	-1.5	1.6523385	-0.15762284
3.33	-1.5	1.7243557	-0.086813784
3.39	-1.5	1.7440478	-0.009961325
3.45	-1.5	1.6609834	0.005233095
3.51	-1.5	1.5900124	0.014660287
3.57	-1.5	1.5299092	-0.04519191
3.63	-1.5	1.6018749	0.03684745
3.69	-1.5	1.5779861	-0.034939953
3.75	-1.5	1.500831	-0.033356814
3.81	-1.5	1.5779795	-0.012778734
3.87	-1.5	1.6028469	0.040350098
3.93	-1.5	1.6105047	0.017252064
4.29	-1.5	1.8607792	0.087743524
4.35	-1.5	1.9185773	0.062923437
4.41	-1.5	1.8486547	0.05802265
4.47	-1.5	1.8309634	0.088794035
4.53	-1.5	1.7843382	0.061892489
4.89	-1.5	1.1768392	0.17996146
4.95	-1.5	1.0544397	0.16225672
5.01	-1.5	1.1748558	0.15618394
5.07	-1.5	1.4029499	0.05586689
5.13	-1.5	1.2274833	-0.093725609
5.19	-1.5	1.0678165	-0.23478543
5.25	-1.5	1.2233917	-0.31237984
5.31	-1.5	1.3085664	-0.26819925
5.37	-1.5	1.3081883	-0.19593582
5.43	-1.5	1.3559015	-0.1093668
5.49	-1.5	1.3123898	0.019889945
5.55	-1.5	1.3918724	-0.14151215
5.61	-1.5	1.294865	0.060004766
5.67	-1.5	1.2282872	0.28002926
5.73	-1.5	1.4072252	0.11432167
5.79	-1.5	1.403584	0.12735988
5.85	-1.5	1.4569831	0.019673577
3.69	-1.46	1.6510309	-0.11918055
3.75	-1.46	1.6727079	-0.11362141
3.81	-1.46	1.7629582	-0.06896557
3.87	-1.46	2.0239758	-0.12960108
3.93	-1.46	2.0026869	-0.11727767
3.99	-1.46	2.0379828	-0.074982448
4.05	-1.46	1.923129	-0.016232271
4.11	-1.46	1.9395852	0.009439683
4.17	-1.46	2.0780174	0.021903499
4.23	-1.46	2.0970293	0.057070268
4.29	-1.46	2.0126278	0.041807464
4.35	-1.46	2.0926526	0.065537407
4.41	-1.46	1.9472991	0.10808986
4.47	-1.46	1.9106306	0.084297951
4.53	-1.46	1.893226	0.088380353
4.89	-1.46	1.5041186	0.15945876
4.95	-1.46	1.2722994	0.049779976
5.01	-1.46	1.3479542	0.054710629
5.07	-1.46	1.2186203	-0.19783422
5.13	-1.46	1.1454154	-0.24884148
5.19	-1.46	1.1303595	-0.35686601
5.25	-1.46	1.2229551	-0.27744639
5.31	-1.46	1.3565316	-0.31837358
5.37	-1.46	1.4037598	-0.29320388
5.43	-1.46	1.6421267	-0.31281604
5.49	-1.46	1.4895129	-0.14570985
5.55	-1.46	1.7151405	-0.10265176
5.61	-1.46	1.6167412	0.070544739
5.67	-1.46	1.6251079	0.025421787
5.73	-1.46	1.5974995	0.10531526
5.79	-1.46	1.6473692	0.068871174
5.85	-1.46	1.5888118	0.085395885
3.69	-1.42	1.7240756	-0.20342114
3.75	-1.42	1.8445848	-0.193886
3.81	-1.42	1.9479369	-0.12515241
4.41	-1.42	1.9016312	0.13662773
4.47	-1.42	1.8641732	0.1064919
4.53	-1.42	1.8947225	0.12571515
4.59	-1.42	1.8722728	0.12839768
4.65	-1.42	1.8642077	0.15794243
4.71	-1.42	1.8521327	0.16037294
4.77	-1.42	1.787597	0.16891888
4.83	-1.42	1.8271489	0.16643974
4.89	-1.42	1.831398	0.13895607
4.95	-1.42	1.490159	-0.062696763
5.01	-1.42	1.5210525	-0.046762687
5.07	-1.42	1.4728964	0.058647072
5.13	-1.42	1.3304805	-0.17273334
5.19	-1.42	1.5409602	-0.12617264
5.25	-1.42	1.3732618	-0.2756665
5.31	-1.42	1.4044968	-0.36854792
5.37	-1.42	1.4993313	-0.39047194
5.43	-1.42	1.5542129	-0.1962845
5.49	-1.42	1.6552069	-0.28347722
5.55	-1.42	1.7352662	-0.15800194
5.61	-1.42	1.8191243	-0.047626923
5.67	-1.42	1.7230222	0.12261808
5.73	-1.42	1.6456336	0.21036684
5.79	-1.42	1.648785	0.23196235
5.85	-1.42	1.6725077	0.23353703
4.47	-1.38	1.9285799	0.20881124
4.53	-1.38	1.9258599	0.19421592
4.59	-1.38	1.9231398	0.17962061
4.65	-1.38	1.894394	0.18840904
4.71	-1.38	1.8657657	0.23686384
4.77	-1.38	1.8266201	0.2221745
4.83	-1.38	1.8136679	0.23010116
4.89	-1.38	1.7503542	0.20869456
4.95	-1.38	1.6232677	0.18894888
5.01	-1.38	1.5516272	0.13735047
5.07	-1.38	1.4257074	-0.070905678
5.13	-1.38	1.4546515	-0.20982248
5.19	-1.38	1.3649575	-0.17193847
5.25	-1.38	1.4066614	-0.18291137
5.31	-1.38	1.5295415	-0.14889391
5.37	-1.38	1.6114019	-0.14172481
5.43	-1.38	1.6676039	-0.081269109
5.49	-1.38	1.7847028	-0.069154941
5.55	-1.38	1.7951634	-0.050175648
5.61	-1.38	1.8095686	0.018243916
5.67	-1.38	1.7758136	0.13314463
5.73	-1.38	1.7505457	0.21186769
5.79	-1.38	1.6618637	0.26785136
5.85	-1.38	1.6126882	0.28938313
2.37	-1.34	1.6904142	-0.013936214
2.43	-1.34	1.8466749	0.055750809
2.49	-1.34	1.9762757	-0.012553002
2.55	-1.34	2.0612353	-0.089239587
2.61	-1.34	2.0658465	-0.1013541
2.67	-1.34	2.017502	-0.044290517
2.73	-1.34	2.0773323	0.003845065
2.79	-1.34	2.0525005	0.044261128
2.85	-1.34	1.9686107	0.065145179
2.91	-1.34	1.763706	-0.22936357
2.97	-1.34	1.7930053	-0.14972021
3.03	-1.34	1.8371291	-0.15608333
3.09	-1.34	1.8316861	-0.17921824
3.15	-1.34	1.8453833	-0.04634333
3.21	-1.34	1.9556629	0.059253899
3.27	-1.34	1.9730215	0.028666094
3.33	-1.34	1.9705549	0.005534876
3.39	-1.34	1.9151467	0.10088318
4.53	-1.34	2.0053522	0.16245302
4.59	-1.34	1.9266785	0.13541579
4.65	-1.34	1.7424669	0.23519152
4.71	-1.34	1.6593823	0.18286885
4.77	-1.34	1.6800455	0.098252189
4.83	-1.34	1.6956553	0.000418661
4.89	-1.34	1.6495108	-0.10406937
4.95	-1.34	1.5761069	-0.15628259
5.01	-1.34	1.4934202	-0.21171756
5.07	-1.34	1.4832083	-0.17818305
5.13	-1.34	1.5469838	-0.26467984
5.19	-1.34	1.4962133	-0.20132397
5.25	-1.34	1.4668301	-0.14925744
5.31	-1.34	1.5998835	0.034154713
5.37	-1.34	1.7421663	0.089524342
5.43	-1.34	1.7900095	0.055092084
5.49	-1.34	1.7234368	0.094613754
5.55	-1.34	1.708012	0.13661687
5.61	-1.34	1.6801719	0.17854516
5.67	-1.34	1.6627254	0.23241084
5.73	-1.34	1.6539391	0.2704212
5.79	-1.34	1.800087	0.19077274
5.85	-1.34	1.704709	0.31735226
2.37	-1.3	1.6443855	0.20827589
2.43	-1.3	1.7614075	0.30229339
2.49	-1.3	1.8562611	0.1390765
2.55	-1.3	1.8623953	0.065644441
2.61	-1.3	1.8640649	0.12209082
2.67	-1.3	1.8237765	0.09596666
2.73	-1.3	1.8370419	0.071474906
2.79	-1.3	1.8936461	0.11511717
2.97	-1.3	2.0679133	-0.17296198
3.03	-1.3	2.073348	-0.21118193
3.09	-1.3	2.095005	-0.11448007
3.15	-1.3	2.0591953	-0.056498513
3.39	-1.3	1.8069803	0.14386732
3.45	-1.3	1.8682071	0.14261089
3.51	-1.3	1.8373204	0.094799263
3.57	-1.3	1.9324202	0.009938525
3.63	-1.3	1.9326001	0.050325031
3.69	-1.3	1.9101413	0.07270914
3.75	-1.3	1.8665141	0.17273736
3.81	-1.3	1.8814208	0.11180867
3.87	-1.3	1.8623074	0.13500562
3.93	-1.3	1.8929316	0.099732846
4.53	-1.3	2.0848445	0.13069012
4.59	-1.3	1.9302172	0.091210979
4.65	-1.3	1.7755899	0.051731837
4.71	-1.3	1.6952615	0.000449027
4.77	-1.3	1.7820818	0.003234394
4.83	-1.3	1.7639887	-0.045105272
4.89	-1.3	1.7820368	-0.14412715
4.95	-1.3	1.7306291	-0.1288114
5.01	-1.3	1.68275	-0.30018917
5.07	-1.3	1.5451347	-0.21738655
5.13	-1.3	1.5276256	-0.15972658
5.19	-1.3	1.6126441	-0.10697064
5.25	-1.3	1.6815447	-0.09171349
5.31	-1.3	1.8465096	-0.029473662
5.37	-1.3	1.8374142	0.047619998
5.43	-1.3	1.7145873	0.016148643
5.49	-1.3	1.7567871	0.01561526
5.55	-1.3	1.7778107	0.04420784
5.61	-1.3	1.8578955	0.023095472
5.67	-1.3	1.8324379	0.10144516
5.73	-1.3	1.6365247	0.17342014
5.79	-1.3	1.7050179	0.23760688
5.85	-1.3	1.6977052	0.18828482
2.07	-1.26	1.7595366	0.43809091
2.13	-1.26	1.7979641	0.36633037
2.37	-1.26	1.5983568	0.430488
2.43	-1.26	1.790709	0.44126279
2.49	-1.26	1.7362465	0.29070599
2.55	-1.26	1.6635553	0.22052847
2.61	-1.26	1.6622834	0.34553575
2.67	-1.26	1.630051	0.23622384
2.73	-1.26	1.5967514	0.13910475
2.79	-1.26	1.7347916	0.18597321
2.97	-1.26	2.3428214	-0.19620374
3.03	-1.26	2.3095668	-0.26628053
3.09	-1.26	2.2847214	-0.42372114
3.15	-1.26	1.9629342	0.012340616
3.39	-1.26	1.6988139	0.18685147
3.45	-1.26	1.8250895	0.18503606
3.51	-1.26	1.6754563	0.26472006
3.57	-1.26	1.9182801	0.061947056
3.63	-1.26	1.7419172	0.20279246
3.69	-1.26	1.6846693	0.20571844
3.75	-1.26	1.6545672	0.15273769
3.81	-1.26	1.4832773	0.017168753
3.87	-1.26	1.5358382	0.11257103
3.93	-1.26	1.5150802	0.18680637
4.35	-1.26	2.0310006	-0.1308089
4.41	-1.26	2.0503638	-0.13193825
4.47	-1.26	2.0498112	-0.15418534
4.53	-1.26	2.0538483	-0.12219545
4.59	-1.26	2.0222302	-0.12886377
4.65	-1.26	2.014933	-0.095245901
4.71	-1.26	2.0857802	-0.15635309
4.77	-1.26	2.0631663	-0.17762458
4.83	-1.26	2.0175254	-0.20028059
4.89	-1.26	1.646494	-0.17560812
4.95	-1.26	1.632017	-0.22505017
5.01	-1.26	1.5954363	-0.20228654
5.07	-1.26	1.4694456	-0.17378744
5.13	-1.26	1.5082673	-0.054773331
5.19	-1.26	1.7290749	-0.012617313
5.25	-1.26	1.6841367	0.00227962
5.31	-1.26	1.7052249	0.083188006
5.37	-1.26	1.7858576	0.058554915
5.43	-1.26	1.8549702	0.076891459
5.49	-1.26	1.8945004	-0.016528309
5.55	-1.26	1.829202	0.025380969
5.61	-1.26	1.7984503	0.11103263
5.67	-1.26	1.8112692	0.1110982
5.73	-1.26	1.7922569	0.12332719
5.79	-1.26	1.7786796	0.14110608
5.85	-1.26	1.7418603	0.10600282
2.07	-1.22	1.7997858	0.13312681
2.13	-1.22	1.7543104	0.2974684
2.19	-1.22	1.9183454	0.5015187
2.25	-1.22	1.8562408	0.62066552
2.31	-1.22	1.7486091	0.64763854
2.37	-1.22	1.7323843	0.59644387
2.43	-1.22	1.7321646	0.79220951
2.49	-1.22	2.0278419	0.52563702
2.55	-1.22	2.0241328	0.60578544
2.61	-1.22	1.9252794	0.49112994
2.67	-1.22	1.527407	0.30469234
2.73	-1.22	1.6471629	0.22142091
2.79	-1.22	1.6851296	0.22702195
2.85	-1.22	1.7392894	0.19958067
2.91	-1.22	1.7666921	0.23292373
2.97	-1.22	1.7940947	0.26626679
3.03	-1.22	1.8358873	0.25288406
3.09	-1.22	1.8463417	0.076873222
3.15	-1.22	1.8666731	0.081179746
3.21	-1.22	1.7186252	-0.054881439
3.27	-1.22	1.9325261	-0.11426686
3.33	-1.22	1.9011176	0.007425387
3.39	-1.22	1.8921278	0.005690875
3.45	-1.22	1.8787209	-0.042668624
3.51	-1.22	1.8256287	-0.072314828
3.57	-1.22	1.7482707	0.04322629
3.63	-1.22	1.7141577	0.077790021
3.69	-1.22	1.6452962	0.096303532
3.75	-1.22	1.83317	0.017446386
3.81	-1.22	1.8727787	0.039450876
3.87	-1.22	2.072272	-0.003588153
3.93	-1.22	1.9993351	0.00254802
3.99	-1.22	1.9296171	0.003716111
4.05	-1.22	1.9481836	-0.031514029
4.11	-1.22	1.9172843	-0.075368375
4.17	-1.22	1.9422739	-0.16692476
4.23	-1.22	1.9692555	-0.16231369
4.29	-1.22	1.9896448	-0.15541598
4.65	-1.22	1.88307	-0.34161277
4.71	-1.22	1.7314465	-0.09691411
4.77	-1.22	1.7319018	-0.40738341
4.83	-1.22	1.6483625	-0.11886026
4.89	-1.22	1.5109512	-0.20708908
4.95	-1.22	1.533405	-0.32128893
5.01	-1.22	1.3220372	-0.21406853
5.07	-1.22	1.2967892	-0.2046295
5.13	-1.22	1.6054724	-0.13870676
5.19	-1.22	1.8136967	-0.065084721
5.25	-1.22	1.8704466	0.019047884
5.31	-1.22	1.9171047	-0.056784608
5.37	-1.22	1.903274	-0.074887284
5.43	-1.22	1.8840217	-0.018505192
5.49	-1.22	1.8321269	0.046286247
5.55	-1.22	1.8234458	0.093692333
5.61	-1.22	1.8401023	0.13782442
5.67	-1.22	1.8123558	0.10202212
5.73	-1.22	1.7853328	0.11360966
5.79	-1.22	1.787229	0.20639951
5.85	-1.22	1.8099201	0.20935572
2.01	-1.18	1.9694135	-0.57228098
2.07	-1.18	1.8400351	-0.17183728
2.13	-1.18	1.7106567	0.22860642
2.19	-1.18	1.9365507	0.33966681
2.25	-1.18	2.005229	0.27241334
2.31	-1.18	1.793716	0.56824704
2.37	-1.18	1.8504066	0.51543944
2.43	-1.18	1.7249776	0.50565247
2.49	-1.18	1.7468496	0.46744208
2.55	-1.18	1.8401844	0.57200361
2.61	-1.18	1.8817898	0.45409645
2.67	-1.18	2.0526471	0.45224338
2.73	-1.18	1.9538939	0.53505621
2.79	-1.18	1.9612517	0.35799842
2.85	-1.18	2.0242846	0.49824073
2.91	-1.18	1.8284396	0.32413451
2.97	-1.18	1.9698558	0.39267475
3.03	-1.18	2.0505171	0.20355127
3.09	-1.18	1.9891496	0.35850591
3.15	-1.18	1.9656839	0.26080338
3.21	-1.18	1.9508429	0.12999978
3.27	-1.18	2.114926	0.095858655
3.33	-1.18	2.2287687	0.12204198
3.39	-1.18	2.2100215	0.11506433
3.45	-1.18	2.1500224	0.097610815
3.51	-1.18	2.1003914	0.051596699
3.57	-1.18	2.002315	0.068977444
3.63	-1.18	2.0322362	0.074841406
3.69	-1.18	2.0634713	0.057902189
3.75	-1.18	2.0400332	0.10223617
3.81	-1.18	1.8308239	-0.033333042
3.87	-1.18	1.8695189	0.014630813
3.93	-1.18	1.8126839	-0.061606764
3.99	-1.18	1.9270353	-0.010661799
4.05	-1.18	2.0145465	-0.1247379
4.11	-1.18	2.0024172	-0.19187173
4.17	-1.18	2.0075649	-0.10482764
4.23	-1.18	2.0396137	-0.11997307
4.29	-1.18	2.0648275	-0.11432652
4.65	-1.18	1.751207	-0.58797964
4.71	-1.18	1.8998703	-0.62861464
4.77	-1.18	1.8233764	-0.36529418
4.83	-1.18	1.7663889	-0.48697306
4.89	-1.18	1.8367611	-0.46783496
4.95	-1.18	1.6327829	-0.45968062
5.01	-1.18	1.6121415	-0.51292552
5.07	-1.18	1.7170379	-0.41165356
5.13	-1.18	1.8031363	-0.23033947
5.19	-1.18	1.826962	-0.14542589
5.25	-1.18	1.829509	-0.088751857
5.31	-1.18	1.8626018	-0.038103395
5.37	-1.18	1.8482572	-0.069824185
5.43	-1.18	1.8161218	-0.042898428
5.49	-1.18	1.8780226	0.025893857
5.55	-1.18	1.8916777	0.063278622
5.61	-1.18	1.8890453	0.058970726
5.67	-1.18	1.8891458	0.075435561
5.73	-1.18	1.849182	0.11032964
5.79	-1.18	1.8857995	0.13929628
